Cycle_no,NDC
0,0.9997924706749297
1,0.9995862371874448
2,0.9993812836984508
3,0.9991775944169751
4,0.9989751538424708
5,0.998773946757736
6,0.9985739582220511
7,0.9983751735645205
8,0.998177578377615
9,0.9979811585109043
10,0.9977859000649774
11,0.9975917893855393
12,0.9973988130576792
13,0.9972069579003106
14,0.9970172476807477
15,0.9968286211081089
16,0.9966410658724391
17,0.9964545698726253
18,0.996269121211434
19,0.996084708190958
20,0.995901319308186
21,0.9957189432506999
22,0.9955375688924855
23,0.9953571852898593
24,0.9951777816775071
25,0.9949993474646271
26,0.9948218722311821
27,0.994645345724242
28,0.9944697578544343
29,0.9942950986924811
30,0.9941213584658316
31,0.9939485275553792
32,0.993776596492268
33,0.9936055559547766
34,0.9934353967652889
35,0.9932661098873355
36,0.9930976864227167
37,0.9929301176086953
38,0.9927633948152612
39,0.992597509542462
40,0.9924324534178047
41,0.9922682181937199
42,0.9921047957450894
43,0.9919421780668316
44,0.9917803572715521
45,0.9916193255872439
46,0.991459075355052
47,0.9912995990270836
48,0.9911408891642782
49,0.9909829384343225
50,0.9908257396096198
51,0.9906692855653038
52,0.9905135692773
53,0.9903585838204394
54,0.9902043223666017
55,0.9900507781829165
56,0.9898979446299987
57,0.9897458151602239
58,0.9895943833160461
59,0.9894436427283541
60,0.9892935871148617
61,0.9891442102785386
62,0.9889955061060767
63,0.9888474685663818
64,0.9887000917091135
65,0.9885533696632448
66,0.9884072966356624
67,0.9882618669097912
68,0.9881170748442548
69,0.9879729148715584
70,0.9878293814968068
71,0.98768646929645
72,0.987544172917048
73,0.9874024870740714
74,0.9872614065507219
75,0.9871209261967814
76,0.986981040927483
77,0.9868417457224056
78,0.9867030356243955
79,0.9865649057385034
80,0.9864273512309526
81,0.9862903673281204
82,0.9861539493155468
83,0.9860180925369595
84,0.98588279239332
85,0.9857480443418888
86,0.9856138438953124
87,0.9854801866207256
88,0.9853470681388727
89,0.9852144841232454
90,0.9850824302992403
91,0.9849509024433335
92,0.9848198963822666
93,0.9846894079922541
94,0.9845594331982064
95,0.98442996797296
96,0.9843010083365351
97,0.9841725503554001
98,0.9840463956668917
99,0.9839207211041662
100,0.9837955230115555
101,0.9836707977897909
102,0.9835465418802363
103,0.983422751764276
104,0.9832994239627157
105,0.9831765550352
106,0.9830541415796309
107,0.9829321802316099
108,0.9828106676638746
109,0.98268960058576
110,0.9825689757426629
