Cycle_no,NDC
0,0.9921696915457117
1,0.9858583022320868
2,0.9805696651666417
3,0.9760172615520195
4,0.972020467911477
5,0.968458008546929
6,0.9652444832007215
7,0.9623174678917334
8,0.9596299409757818
9,0.9571455953832685
10,0.9548358097220239
11,0.9526776198891508
12,0.9506523189260987
13,0.9487444650974303
14,0.9469411631568901
15,0.9452315331793101
16,0.9436063111042453
17,0.9420575436323959
18,0.9405783519253842
19,0.9391627462854643
20,0.9378054791574524
21,0.9365019273172147
22,0.9352479965556922
23,0.9340400438917016
24,0.9328748135810867
25,0.9317493840855305
26,0.9306611238224296
27,0.9296076540064137
28,0.9285868172606411
29,0.9275966509548381
30,0.9266353644406733
31,0.9257013195200607
32,0.9247930136105188
33,0.9239090651725569
34,0.9230482010438188
35,0.9222092453881546
36,0.9213911100186132
37,0.920592785894318
38,0.9198133356243294
39,0.9190518868387054
40,0.9183076263090341
41,0.9175797947190042
42,0.9168676820006127
43,0.9161706231641349
44,0.9154879945604064
45,0.9148192105227239
46,0.9141637203430157
47,0.9135210055431099
48,0.9128905774072049
49,0.9122719747461157
50,0.9116647618676079
51,0.9110685267304681
52,0.9104828792626881
53,0.9099074498265569
54,0.9093418878155202
55,0.9087858603694811
56,0.9082390511967012
57,0.9077011594919131
58,0.9071718989413108
59,0.9066509968062153
60,0.9061381930780584
61,0.9056332396981038
62,0.9051358998360808
63,0.904645947222433
64,0.9041631655294893
65,0.903687347797317
66,0.9032182959004476
67,0.9027558200520021
68,0.9022997383421557
69,0.9018498763080811
70,0.9014060665328643
71,0.9009681482710662
72,0.9005359670988287
73,0.9001093745866331
74,0.899688227992961
75,0.8992723899772825
76,0.8988617283309203
77,0.8984561157244856
78,0.8980554294706448
79,0.8976595513011478
80,0.897268367157094
81,0.8968817669914703
82,0.896499644583156
83,0.8961218973615873
84,0.8957484262413327
85,0.8953791354659567
86,0.8950139324605183
87,0.8946527276921487
88,0.8942954345382038
89,0.8939419691614549
90,0.8935922503919274
91,0.893246199614918
92,0.8929037406648481
93,0.8925647997245533
94,0.8922293052297189
95,0.8918971877781082
96,0.8915683800433228
97,0.8912428166928374
98,0.8909204343100146
99,0.8906011713199093
100,0.890284967918637
101,0.8899717660060874
102,0.8896615091218021
103,0.8893541423838451
104,0.8890496124304994
105,0.8887478673646236
106,0.8884488567005359
107,0.8881525313132901
108,0.8878588433901922
109,0.8875677463844803
110,0.8872791949710142
111,0.8869931450038903
112,0.8867095534758876
113,0.8864283784796315
114,0.8861495791704038
115,0.8858731157305121
116,0.8855989493351425
117,0.8853270421196157
118,0.8850573571479831
119,0.8847898583828973
120,0.8845245106566938
121,0.8842612796436282
122,0.8840001318332126
123,0.8837410345045918
124,0.8834839557019395
125,0.8832288642107762
126,0.8829757295352212
127,0.882724521876094
128,0.8824752121098588
129,0.8822277717683389
130,0.88198217301921
131,0.8817383886471925
132,0.8814963920359488
133,0.8812561571506333
134,0.881017658521071
135,0.8807808712255506
136,0.8805457708751849
137,0.880312333598825
138,0.8800805360285122
139,0.879850355285428
140,0.8796217689663384
141,0.8793947551305069
142,0.8791692922870332
143,0.8789453593826623
144,0.8787229357899625
145,0.8785020012959238
146,0.8782825360909298
147,0.8780645207580887
148,0.8778479362629299
149,0.8776327639434162
150,0.877418985500293
151,0.877206582987747
152,0.8769955388043605
153,0.8767858356843491
154,0.8765774566890888
155,0.8763703851989005
156,0.8761646049050882
157,0.8759600998022256
158,0.8757568541806955
159,0.8755548526194283
160,0.8753540799788877
161,0.8751545213942556
162,0.8749561622688246
163,0.8747589882675868
164,0.8745629853110207
165,0.8743681395690499
166,0.8741744374551851
167,0.8739818656208362
168,0.873790410949794
169,0.8736000605528641
170,0.8734108017626558
171,0.8732226221285273
172,0.8730355094116578
173,0.8728494515802849
174,0.8726644368050448
175,0.8724804534544671
176,0.8722974900905798
177,0.8721155354646447
178,0.871934578512998
179,0.8717546083530241
180,0.8715756142792161
181,0.871397585759358
182,0.8712205124308031
183,0.8710443840968536
184,0.8708691907232331
185,0.8706949224346636
186,0.8705215695115116
187,0.8703491223865403
188,0.8701775716417444
189,0.8700069080052509
190,0.8698371223483247
191,0.8696682056824235
192,0.8695001491563513
193,0.869332944053477
194,0.8691665817890054
195,0.8690010539073462
196,0.8688363520795279
197,0.8686724681006798
198,0.8685093938875857
199,0.8683471214762838
200,0.8681856430197368
201,0.8680249507855503
202,0.8678650371537565
203,0.8677058946146343
204,0.8675475157665996
205,0.8673898933141414
206,0.8672330200657987
207,0.8670768889321941
208,0.866921492924112
209,0.866766825150615
210,0.8666128788172189
211,0.8664596599371902
212,0.8663071490733116
213,0.8661553397114676
214,0.8660042254270376
215,0.8658537998832673
216,0.8657040568296647
217,0.8655549901004497
218,0.8654065936130322
219,0.8652588613665141
220,0.8651117874402368
221,0.8649653659923565
222,0.8648195912584546
223,0.864674457550167
224,0.8645299592538621
225,0.8643860908293288
226,0.864242846808511
